Original Filename,Cloudflare ID,Title,Section ,subsection,Date ,Aspect,Published,Alt Text
birds.jpg,4ad4209f-7a14-417c-f87b-baeae1710100,birds,portfolio,NA,24-Dec-24,3:2,Yes,Birds flying over the water in Florida
boots.jpg,30e49ea5-3b96-4b64-9892-4b0b040c9100,boots,portfolio,NA,07-Jan-25,3:2,Yes,Woman's boots in Berlin
boy_on_horse.jpg,f828e2c6-6efd-4d7c-9042-fd963b7dd800,boy on horse,portfolio,NA,12-Aug-23,3:2,Yes,Georgian Boy on Horse
brother.jpg,18618f3a-ed19-4385-06b8-d5202580c200,brother,portfolio,NA,16-Aug-24,3:2,Yes,My brother sleeping with hairy back
charlie.jpg,d80876fb-3ec9-4e1d-5dac-278d6da48100,charlie,portfolio,NA,16-Aug-24,3:2,Yes,Charlie coming out of the water shirtless
couple.jpg,cb38a771-2c2a-4a06-9e5d-34070681ff00,couple ,portfolio,NA,05-May-25,3:2,Yes,Couple in a club embracing 
david.jpg,e40d3e7b-abc8-4d17-8e07-a11d4b683700,david,portfolio,NA,16-Aug-24,3:2,Yes,David flexing his body
essex_street.jpg,e03d50d9-305b-467b-e186-16b2d6dd5a00,essex street,portfolio,NA,03-Sep-24,3:2,Yes,Plastic film flying in subway
father_and_son.jpg,b4d0e7ed-b535-4026-f993-ed7a8a25c000,father_and_son,portfolio,NA,"July 19, 2023",3:2,Yes,Father embracing his son in Georgia
foot_in_shoe.jpg,4eebb110-8071-4cf9-540a-b94415799a00,foot in shoe,portfolio,NA,"September 18, 2024",3:2,Yes,Foot in Ballet that is too small
girl_by_church.jpg,3369d4a8-bde1-4fca-cbde-c2c02203a900,girl by church,portfolio,NA,30-Aug-23,3:2,Yes,Girl outside church in Georgia 
girl_in_mask.jpg,75afd48d-78df-4ba7-4ec4-486ae75d6c00,girl in mask,portfolio,NA,03-Nov-24,3:2,Yes,Woman in party wearing mask
hands.jpg,a4d5ff7e-bfca-4bcb-81b7-b0eda2adcb00,hands,portfolio,NA,15-Mar-25,3:2,Yes,David having his face covered by many hands
jest.jpg,f3bef26e-1a52-4da6-e1ce-81453b99ec00,jest,portfolio,NA,01-May-25,3:2,Yes,Girl poking her tounge out 
kiss.jpg,4b786d90-e7ee-4053-6a03-55ab4c83eb00,kiss ,portfolio,NA,09-Sep-24,3:2,Yes,Two men kissing 
lio.jpg,41f464d0-708f-4c1d-cebf-57e04ab3a500,lio,portfolio,NA,31-Dec-24,3:2,Yes,Lio in berlin looking down
magdalene.jpg,0d6044d6-ca76-421b-ede8-9cda96678700,magdalene,portfolio,NA,26-Apr-25,3:2,Yes,protrait of Magdalene 
masks.jpg,cefbe4c3-34d8-4c11-ea44-66eace4ad700,masks,portfolio,NA,03-Nov-24,3:2,Yes,two men wearing masks at party
memorial.jpg,f44a7674-9f3f-4980-fb95-6e839f51e600,memorial,portfolio,NA,"July 22, 2024",3:2,Yes,Holocaust memorial in berlin
pedro.jpg,abeae236-a489-48a7-9185-b9ebc7a1ff00,pedro,portfolio,NA,23-Nov-24,3:2,Yes,Pedro in the studio 
protest.jpg,4ecef398-bf71-4384-6e25-ad1c321c1e00,protest,portfolio,NA,15-Oct-23,3:2,Yes,large protest in Tbilisi with lots of smoke 
shower.jpg,ceda91ca-7326-499c-49e8-c9bf4edb1500,shower,portfolio,NA,"September 17, 2024",3:2,Yes,Women in shower with clothes 
smile.jpg,467aeba3-b5a9-47cd-9b4b-ebdac0576f00,smile,portfolio,NA,"September 19, 2024",3:2,Yes,woman smiling 
smoking.jpg,0820ea4c-5514-4f61-9a53-eceab46c0700,smoking,portfolio,NA,04-Oct-23,3:2,Yes,man smoking 
tattoo.jpg,daffade6-ac28-46b2-217f-596d5e2a5200,tattoo,portfolio,NA,06-Jan-25,3:2,Yes,Tattoo on friends back
yelling.jpg,c447bd00-b7c4-4f5d-1454-a63166ed7300,yelling,portfolio,NA,31-Dec-24,3:2,Yes,Friend Yelling 
alberts_party_october_12-1.jpg,65d920a3-be22-4a60-70c9-6e61a943fe00,na,parties,alberts_party_october_12,12-Oct-24,3:2,no ,Woman in Dress
alberts_party_october_12-2.jpg,2da61e8a-b58c-4e99-f0c4-c923f4f1e500,na,parties,alberts_party_october_12,12-Oct-24,3:2,no,Woman smiling and showing teeth 
alberts_party_october_12-3.jpg,862952f6-b766-4eed-17df-014cb5802a00,na,parties,alberts_party_october_12,12-Oct-24,3:2,no,Man in Stripped Shirt
alberts_party_october_12-4.jpg,0a513b3e-6f1f-4eb4-65f3-6ae7d508a400,na,parties,alberts_party_october_12,12-Oct-24,1:1,no,Couple hugging in club 
alberts_party_october_12-5.jpg,098ba432-7f28-4e5c-b164-bfa24dc45500,na,parties,alberts_party_october_12,12-Oct-24,1:1,no,woman yelling
bushwich_party_april_5-1.jpg,ebd7fbbc-6f53-4e15-c072-1bb038323300,na,parties,bushwick_party_april_5,april-5-2025,3:2,no ,man rubbing his teeth
bushwich_party_april_5-2.jpg,6e28fa28-15bb-4921-b33b-6c6234d26800,na,parties,bushwick_party_april_5,april-5-2025,3:2,no,woman with 100 dollar bill in her mouth
bushwich_party_april_5-3.jpg,d8fd0f46-95b8-4236-d1d3-15a401d60100,na,parties,bushwick_party_april_5,april-5-2025,3:2,no,woman looking at light
bushwich_party_april_5-4.jpg,e1e94088-0058-480b-9fcc-fe50e6152100,na,parties,bushwick_party_april_5,april-5-2025,3:2,no,woman smoking inside 
bushwich_party_april_5-5.jpg,2a3acab1-56bc-421c-e891-e39132ebdc00,na,parties,bushwick_party_april_5,april-5-2025,3:2,no,man smiling and flexing
crazy_girl_march_9-1.jpg,509a1614-1b8d-4414-bda1-39087294f900,na,parties,crazy_girl_march_9,march-9-2025,3:2,no,one girl kissing a girl on the forehead 
crazy_girl_march_9-2.jpg,929a5535-1dcc-46ef-fbfe-1eebe4cb9b00,na,parties,crazy_girl_march_9,march-9-2025,3:2,no,a woman's underware that reads barcelona 
crazy_girl_march_9-3.jpg,84324cb6-d55a-43ec-97ba-96bb32502a00,na,parties,crazy_girl_march_9,march-9-2025,3:2,no,a man with a white t-shirt
crazy_girl_march_9-4.jpg,7c3c7469-7b9a-40b3-0b76-f46e9753b300,na,parties,crazy_girl_march_9,march-9-2025,3:2,no,a woman yelling 
crazy_girl_march_9-5.jpg,ee2f6be6-c487-45a9-82f1-158c989ae000,na,parties,crazy_girl_march_9,march-9-2025,3:2,no,a woman applying lip gloss 
croatian_wedding_june_27-1.jpg,c500545f-b4e8-4219-a191-a084cdcfd000,na,parties,croatian_wedding_june_27,june-27-2025,3:2,no,girl holding father 
croatian_wedding_june_27-2.jpg,810221d7-9c16-4848-0a3a-c56c774a9400,na,parties,croatian_wedding_june_27,june-27-2025,3:2,no ,man holding a flare and young boy
croatian_wedding_june_27-3.jpg,f7789403-01ef-48cd-dabf-14655bd92f00,na,parties,croatian_wedding_june_27,june-27-2025,3:2,no ,two people embracing 
croatian_wedding_june_27-4.jpg,c9b377ce-8f0b-487b-186a-7a56fdd5ad00,na,parties,croatian_wedding_june_27,june-27-2025,3:2,no ,a party were people are dancing and shouting 
croatian_wedding_june_27-5.jpg,d00f5b9a-237e-41e6-c202-4d2134f8fc00,na,parties,croatian_wedding_june_27,june-27-2025,3:2,no ,two children playing infornt of the croatian flag
croatian_wedding_june_27-6.jpg,18af1b4b-b29d-49b4-ec6d-f9b367b92400,na,parties,croatian_wedding_june_27,june-27-2025,3:2,no ,and old man next to a young boy
dojo_pomodoro_november_3-1.jpg,45d4b97d-9607-4902-02fc-b0b5a3944900,na,parties,dojo_pomodoro_november_3,nov-3-2024,3:2,no ,two mimes next to each other
dojo_pomodoro_november_3-2.jpg,3c3a661c-0221-45e2-66eb-dd07d6754f00,na,parties,dojo_pomodoro_november_3,nov-3-2024,3:2,no , two women with fake facial hair in suits
dojo_pomodoro_november_3-3.jpg,c3c72520-4b73-4ac3-040e-03953fdfbe00,na,parties,dojo_pomodoro_november_3,nov-3-2024,3:2,no ,a girl in deer makeup
dojo_pomodoro_november_3-4.jpg,024a140d-5746-4bcf-eba9-a20186f76900,na,parties,dojo_pomodoro_november_3,nov-3-2024,3:2,no ,a woman looking at the camera with blond hair
dojo_pomodoro_november_3-5.jpg,4bcf11c8-62e1-49d4-2fd5-d200d6f07800,na,parties,dojo_pomodoro_november_3,nov-3-2024,3:2,no ,a man with a mask eating pasta 
kai_and_vivi_jan_25-1.jpg,2af01b74-fac8-4f91-3f9d-b3b1ded90d00,na,parties,kai_and_vivii_jan_25,Jan 25-2025,1:1,no ,a man with a gem on his front tooth 
kai_and_vivi_jan_25-2.jpg,b6172a2a-5a1c-4c5f-11df-549303919f00,na,parties,kai_and_vivii_jan_25,Jan 25-2025,1:1,no , a woman with a t-shitrt that says love me 
kai_and_vivi_jan_25-3.jpg,8f0df6ab-2bc8-4ea8-44dc-febb1cdb2600,na,parties,kai_and_vivii_jan_25,Jan 25-2025,3:2,no ,a woman with a small bag in her mouth
kai_and_vivi_jan_25-4.jpg,10604946-a2d9-4782-fdb1-edcac053ce00,na,parties,kai_and_vivii_jan_25,Jan 25-2025,1:1,no ,a woman with her mouth agap 
kai_and_vivi_jan_25-5.jpg,6ca0eda3-38d5-4887-4985-902aaf21e900,na,parties,kai_and_vivii_jan_25,Jan 25-2025,1:1,no ,a man climbing a stairwell to light
